SPRINGBOOT_SECURITY 11:04:31.625 INFO  org.hibernate.validator.internal.util.Version : - HV000001: Hibernate Validator 8.0.1.Final 
SPRINGBOOT_SECURITY 11:04:34.846 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : - Root WebApplicationContext: initialization completed in 3081 ms 
SPRINGBOOT_SECURITY 11:04:35.127 INFO  com.zaxxer.hikari.HikariDataSource : - HikariPool-1 - Starting... 
SPRINGBOOT_SECURITY 11:04:35.305 INFO  com.zaxxer.hikari.pool.HikariPool : - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@50111c96 
SPRINGBOOT_SECURITY 11:04:35.307 INFO  com.zaxxer.hikari.HikariDataSource : - HikariPool-1 - Start completed. 
SPRINGBOOT_SECURITY 11:04:35.321 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : - H2 console available at '/h2-console'. Database available at 'jdbc:mariadb://211.43.12.162:31381/edu?user=edu1&password=***' 
SPRINGBOOT_SECURITY 11:04:35.473 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - LogFilter init() 
SPRINGBOOT_SECURITY 11:04:35.968 INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : - LiveReload server is running on port 35729 
SPRINGBOOT_SECURITY 11:04:37.148 INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver : - Exposing 6 endpoint(s) beneath base path '/actuator' 
SPRINGBOOT_SECURITY 11:04:37.310 INFO  org.springframework.security.web.DefaultSecurityFilterChain : - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@b0bc033, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3075531c, org.springframework.security.web.context.SecurityContextHolderFilter@1e805166, org.springframework.security.web.header.HeaderWriterFilter@2a3d9016, org.springframework.web.filter.CorsFilter@21bdb136, org.springframework.security.web.authentication.logout.LogoutFilter@5fedf951, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@19f189bd, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5dcb00bd, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@7ee7c28a, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@270d4196, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c2f49a1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57dcc7be, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2b388f3d, org.springframework.security.web.session.SessionManagementFilter@67e38cb4, org.springframework.security.web.access.ExceptionTranslationFilter@2467b042, org.springframework.security.web.access.intercept.AuthorizationFilter@3da87c8] 
SPRINGBOOT_SECURITY 11:04:38.144 INFO  org.apache.coyote.http11.Http11NioProtocol : - Starting ProtocolHandler ["http-nio-9080"] 
SPRINGBOOT_SECURITY 11:04:38.191 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : - Tomcat started on port 9080 (http) with context path '' 
SPRINGBOOT_SECURITY 11:04:38.214 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Started ThirdprojectApplication in 7.12 seconds (process running for 8.505) 
SPRINGBOOT_SECURITY 11:06:21.787 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : - Initializing Spring DispatcherServlet 'dispatcherServlet' 
SPRINGBOOT_SECURITY 11:06:21.787 INFO  org.springframework.web.servlet.DispatcherServlet : - Initializing Servlet 'dispatcherServlet' 
SPRINGBOOT_SECURITY 11:06:21.789 INFO  org.springframework.web.servlet.DispatcherServlet : - Completed initialization in 1 ms 
SPRINGBOOT_SECURITY 11:06:22.277 INFO  com.kt.edu.thirdproject.common.service.JwtAuthConverter : - jwt claimName 
SPRINGBOOT_SECURITY 11:06:22.297 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees] LogFilter doFilter Start 
SPRINGBOOT_SECURITY 11:06:22.299 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Headers 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-language = ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-encoding = gzip, deflate, br, zstd 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - referer = http://localhost:3000/employees 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-dest = empty 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-mode = cors 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-site = same-origin 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept = */* 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-platform = "Windows" 
SPRINGBOOT_SECURITY 11:06:22.301 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - user-agent = Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 
SPRINGBOOT_SECURITY 11:06:22.302 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - authorization = Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJMZU5yUEllV3F1S1RBQnU1NVdzMWlObmZiSEd4ZlJubzRuaUFUc21OUUFBIn0.eyJleHAiOjE3MDk1MTgyODIsImlhdCI6MTcwOTUxNzk4MiwiYXV0aF90aW1lIjoxNzA5NTE3ODAwLCJqdGkiOiJjNjkwZjBlZC04OTYxLTQ4OTktYjczYi1iNGUzNWI3MTY1ZmMiLCJpc3MiOiJodHRwOi8vMjExLjQzLjEyLjE2MjozMDI5OC9yZWFsbXMvZW1wbG95ZWUtc2VydmljZXMiLCJzdWIiOiIwYjU1ZWIzYy1lZjZmLTQ5ZDUtODdkNy1lZDNmMTQ5Zjg5NWQiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJlZHUtYXBwIiwibm9uY2UiOiIyNzcyOWUwMC02ZmQyLTQwODItODllNS1lOWIyNzg5MDNkMGEiLCJzZXNzaW9uX3N0YXRlIjoiNzNiYjIwYzQtZGJiNS00NTJkLTlkMzYtZTNmZDAxZjQ0NjllIiwiYWNyIjoiMCIsImFsbG93ZWQtb3JpZ2lucyI6WyIqIl0sInJlc291cmNlX2FjY2VzcyI6eyJlZHUtYXBwIjp7InJvbGVzIjpbIkVEVV9NQU5BR0VSIl19fSwic2NvcGUiOiJvcGVuaWQgcHJvZmlsZSBlbWFpbCIsInNpZCI6IjczYmIyMGM0LWRiYjUtNDUyZC05ZDM2LWUzZmQwMWY0NDY5ZSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWRtaW4ifQ.NredWnCjXNMa7L0n9fVL6AxxxBfKY4HxVT3QkaYxfZyNie3u2nh2APT9gIKL4Wz8bkWS_gWR08vc5XOoNzqMyfQ81mCW3ojakU9g4LhZMoR-uFa8kzUhA2_oDBI3iSlOS7oQTwXBl9ggs2Mp3DEzU08UEwojQw0kCmzSB5Z12JRq6eJdlq0436rny9qpieXjBic13NHZ-kN-zz1kzEkpyVKfV0e4Im6cgre9KrvDKrJsFbWKrjmxTe0xJ2ea9a3glcgrA5RLQulj2mpcw0E37nWnHEvDZo9Us8gcPFFqf3tZ3m4z9MaB35y71WN3zWDGIJ0rC8H6GrXQkQBeCLFzrA 
SPRINGBOOT_SECURITY 11:06:22.302 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-mobile = ?0 
SPRINGBOOT_SECURITY 11:06:22.302 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua = "Chromium";v="122", "Not(A:Brand";v="24", "Google Chrome";v="122" 
SPRINGBOOT_SECURITY 11:06:22.302 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - connection = close 
SPRINGBOOT_SECURITY 11:06:22.302 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - host = localhost:9080 
SPRINGBOOT_SECURITY 11:06:22.302 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Parameters 
SPRINGBOOT_SECURITY 11:06:22.303 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Row data 
SPRINGBOOT_SECURITY 11:06:22.322 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - start = execution(List com.kt.edu.thirdproject.employee.controller.EmployeeController.getEmployeeList()) 
SPRINGBOOT_SECURITY 11:06:22.322 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - before = getEmployeeList 
SPRINGBOOT_SECURITY 11:06:22.343 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - start = execution(List com.kt.edu.thirdproject.employee.service.EmployeeService.getEmployeeList()) 
SPRINGBOOT_SECURITY 11:06:22.343 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - before = getEmployeeList 
SPRINGBOOT_SECURITY 11:06:22.343 INFO  com.kt.edu.thirdproject.employee.service.EmployeeService : - Request to get all Employees 
SPRINGBOOT_SECURITY 11:06:22.503 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - after = getEmployeeList 
SPRINGBOOT_SECURITY 11:06:22.503 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - log = List com.kt.edu.thirdproject.employee.service.EmployeeService.getEmployeeList() 
SPRINGBOOT_SECURITY 11:06:22.503 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - timeMs = 160 
SPRINGBOOT_SECURITY 11:06:22.514 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - after = getEmployeeList 
SPRINGBOOT_SECURITY 11:06:22.514 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - log = List com.kt.edu.thirdproject.employee.controller.EmployeeController.getEmployeeList() 
SPRINGBOOT_SECURITY 11:06:22.514 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - timeMs = 194 
SPRINGBOOT_SECURITY 11:06:22.586 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees] LogFilter doFilter End 
SPRINGBOOT_SECURITY 11:06:47.188 INFO  com.kt.edu.thirdproject.common.service.JwtAuthConverter : - jwt claimName 
SPRINGBOOT_SECURITY 11:06:47.190 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees/2003] LogFilter doFilter Start 
SPRINGBOOT_SECURITY 11:06:47.190 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Headers 
SPRINGBOOT_SECURITY 11:06:47.190 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-language = ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7 
SPRINGBOOT_SECURITY 11:06:47.190 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-encoding = gzip, deflate, br, zstd 
SPRINGBOOT_SECURITY 11:06:47.190 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - referer = http://localhost:3000/employees 
SPRINGBOOT_SECURITY 11:06:47.190 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-dest = empty 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-mode = cors 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-site = same-origin 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - origin = http://localhost:3000 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept = */* 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-platform = "Windows" 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - user-agent = Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - authorization = Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJMZU5yUEllV3F1S1RBQnU1NVdzMWlObmZiSEd4ZlJubzRuaUFUc21OUUFBIn0.eyJleHAiOjE3MDk1MTgyODIsImlhdCI6MTcwOTUxNzk4MiwiYXV0aF90aW1lIjoxNzA5NTE3ODAwLCJqdGkiOiJjNjkwZjBlZC04OTYxLTQ4OTktYjczYi1iNGUzNWI3MTY1ZmMiLCJpc3MiOiJodHRwOi8vMjExLjQzLjEyLjE2MjozMDI5OC9yZWFsbXMvZW1wbG95ZWUtc2VydmljZXMiLCJzdWIiOiIwYjU1ZWIzYy1lZjZmLTQ5ZDUtODdkNy1lZDNmMTQ5Zjg5NWQiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJlZHUtYXBwIiwibm9uY2UiOiIyNzcyOWUwMC02ZmQyLTQwODItODllNS1lOWIyNzg5MDNkMGEiLCJzZXNzaW9uX3N0YXRlIjoiNzNiYjIwYzQtZGJiNS00NTJkLTlkMzYtZTNmZDAxZjQ0NjllIiwiYWNyIjoiMCIsImFsbG93ZWQtb3JpZ2lucyI6WyIqIl0sInJlc291cmNlX2FjY2VzcyI6eyJlZHUtYXBwIjp7InJvbGVzIjpbIkVEVV9NQU5BR0VSIl19fSwic2NvcGUiOiJvcGVuaWQgcHJvZmlsZSBlbWFpbCIsInNpZCI6IjczYmIyMGM0LWRiYjUtNDUyZC05ZDM2LWUzZmQwMWY0NDY5ZSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWRtaW4ifQ.NredWnCjXNMa7L0n9fVL6AxxxBfKY4HxVT3QkaYxfZyNie3u2nh2APT9gIKL4Wz8bkWS_gWR08vc5XOoNzqMyfQ81mCW3ojakU9g4LhZMoR-uFa8kzUhA2_oDBI3iSlOS7oQTwXBl9ggs2Mp3DEzU08UEwojQw0kCmzSB5Z12JRq6eJdlq0436rny9qpieXjBic13NHZ-kN-zz1kzEkpyVKfV0e4Im6cgre9KrvDKrJsFbWKrjmxTe0xJ2ea9a3glcgrA5RLQulj2mpcw0E37nWnHEvDZo9Us8gcPFFqf3tZ3m4z9MaB35y71WN3zWDGIJ0rC8H6GrXQkQBeCLFzrA 
SPRINGBOOT_SECURITY 11:06:47.191 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-mobile = ?0 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - content-type = application/json 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua = "Chromium";v="122", "Not(A:Brand";v="24", "Google Chrome";v="122" 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - content-length = 72 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - connection = close 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - host = localhost:9080 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Parameters 
SPRINGBOOT_SECURITY 11:06:47.192 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Row data 
SPRINGBOOT_SECURITY 11:06:47.195 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [{"id":2003,"empName":"0","empDeptName":"0","empTelNo":"0","empMail":"0"}] LogFilter doFilter Body 
SPRINGBOOT_SECURITY 11:06:47.230 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - start = execution(ResponseEntity com.kt.edu.thirdproject.employee.controller.EmployeeController.update(Long,EmployeeEntity)) 
SPRINGBOOT_SECURITY 11:06:47.230 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - before = update 
SPRINGBOOT_SECURITY 11:06:47.230 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = Long 
SPRINGBOOT_SECURITY 11:06:47.230 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = 2003 
SPRINGBOOT_SECURITY 11:06:47.230 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = EmployeeEntity 
SPRINGBOOT_SECURITY 11:06:47.230 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = EmployeeEntity(id=2003, empName=0, empDeptName=0, empTelNo=0, empMail=0, isNew=false) 
SPRINGBOOT_SECURITY 11:06:47.247 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - start = execution(EmployeeEntity com.kt.edu.thirdproject.employee.service.EmployeeService.update(Long,EmployeeEntity)) 
SPRINGBOOT_SECURITY 11:06:47.247 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - before = update 
SPRINGBOOT_SECURITY 11:06:47.247 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = Long 
SPRINGBOOT_SECURITY 11:06:47.247 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = 2003 
SPRINGBOOT_SECURITY 11:06:47.247 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = EmployeeEntity 
SPRINGBOOT_SECURITY 11:06:47.247 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = EmployeeEntity(id=2003, empName=0, empDeptName=0, empTelNo=0, empMail=0, isNew=false) 
SPRINGBOOT_SECURITY 11:06:47.254 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - #### KteduAnnotation ####[Ktedu] EmployeeEntity com.kt.edu.thirdproject.employee.service.EmployeeService.update(Long,EmployeeEntity) args = [2003, EmployeeEntity(id=2003, empName=0, empDeptName=0, empTelNo=0, empMail=0, isNew=false)] 
SPRINGBOOT_SECURITY 11:06:47.255 INFO  com.kt.edu.thirdproject.employee.service.EmployeeService : - Request to update Employee : EmployeeEntity(id=2003, empName=0, empDeptName=0, empTelNo=0, empMail=0, isNew=false) 
SPRINGBOOT_SECURITY 11:06:47.337 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - after = update 
SPRINGBOOT_SECURITY 11:06:47.338 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = Long 
SPRINGBOOT_SECURITY 11:06:47.338 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = 2003 
SPRINGBOOT_SECURITY 11:06:47.338 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = EmployeeEntity 
SPRINGBOOT_SECURITY 11:06:47.338 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = EmployeeEntity(id=2003, empName=0, empDeptName=0, empTelNo=0, empMail=0, isNew=false) 
SPRINGBOOT_SECURITY 11:06:47.338 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - log = EmployeeEntity com.kt.edu.thirdproject.employee.service.EmployeeService.update(Long,EmployeeEntity) 
SPRINGBOOT_SECURITY 11:06:47.338 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - timeMs = 91 
SPRINGBOOT_SECURITY 11:06:47.413 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - after = update 
SPRINGBOOT_SECURITY 11:06:47.414 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = Long 
SPRINGBOOT_SECURITY 11:06:47.414 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = 2003 
SPRINGBOOT_SECURITY 11:06:47.414 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - type = EmployeeEntity 
SPRINGBOOT_SECURITY 11:06:47.414 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - value = EmployeeEntity(id=2003, empName=0, empDeptName=0, empTelNo=0, empMail=0, isNew=false) 
SPRINGBOOT_SECURITY 11:06:47.414 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - log = ResponseEntity com.kt.edu.thirdproject.employee.controller.EmployeeController.update(Long,EmployeeEntity) 
SPRINGBOOT_SECURITY 11:06:47.414 INFO  com.kt.edu.thirdproject.common.aop.LogAspect : - timeMs = 184 
SPRINGBOOT_SECURITY 11:06:47.417 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees/2003] LogFilter doFilter End 
SPRINGBOOT_SECURITY 11:07:55.776 INFO  com.kt.edu.thirdproject.common.service.JwtAuthConverter : - jwt claimName 
SPRINGBOOT_SECURITY 11:07:55.778 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees] LogFilter doFilter Start 
SPRINGBOOT_SECURITY 11:07:55.778 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Headers 
SPRINGBOOT_SECURITY 11:07:55.778 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-language = ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7 
SPRINGBOOT_SECURITY 11:07:55.778 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-encoding = gzip, deflate, br, zstd 
SPRINGBOOT_SECURITY 11:07:55.778 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - referer = http://localhost:3000/employees 
SPRINGBOOT_SECURITY 11:07:55.778 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-dest = empty 
SPRINGBOOT_SECURITY 11:07:55.779 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-mode = cors 
SPRINGBOOT_SECURITY 11:07:55.779 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-site = same-origin 
SPRINGBOOT_SECURITY 11:07:55.779 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept = */* 
SPRINGBOOT_SECURITY 11:07:55.779 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-platform = "Windows" 
